id,minute,phase,inject_type,message,expected_response,severity,artifact_reference,tags,created
X0025,23,Signal,supply_chain_flag,Training job completed with unexpected dependency marker (sandbox-only).,Legal to assess reporting obligations; prepare holding statement.,medium,,thirdparty|drift|legal,2026-02-11T06:55:27.476188Z
X0026,76,Containment,user_report,Simulated ingestion artifact with altered column ordering (no PII).,Enable human-in-the-loop for affected paths; log prompts and context.,low,case:SIM-3247,data-quality|latency,2026-02-11T06:55:27.476188Z
X0027,120,Ambiguity,sla_degrading,Alerts indicate increase in confident predictions for edge cases (synthetic).,Triage and assign owner; collect logs; run canary test.,low,service:sim-4,latency|thirdparty|data-quality,2026-02-11T06:55:27.476188Z
X0028,158,Containment,model_infiltration,Minor throughput variance during scheduled load window (exercise-only).,Triage and assign owner; collect logs; run canary test.,medium,artifact:x0028-artifact,thirdparty|drift|rate-limit,2026-02-11T06:55:27.476188Z
X0029,33,Ambiguity,regulatory_notice,Training job completed with unexpected dependency marker (sandbox-only).,Throttle traffic and fallback to canary; alert SRE.,low,,prompt-inject|throughput|rate-limit,2026-02-11T06:55:27.476188Z
X0030,105,Decision,model_infiltration,Simulated regulator 'request for information' received (exercise).,Run statistical comparison; increase sampling; create drift alert.,high,artifact:x0030-artifact,data-quality|comms|prompt-inject,2026-02-11T06:55:27.476188Z
X0031,150,Signal,ingest_file,Synthetic ingest_file observed in test harness with anomalous metadata pattern.,Correct ingestion script; re-validate dataset; document fix.,medium,artifact:x0031-artifact,prompt-inject,2026-02-11T06:55:27.476188Z
X0032,195,Decision,user_report,Synthetic user_report observed in test harness with anomalous metadata pattern.,Flag as potential model-exfil pattern; restrict API keys; audit queries.,medium,case:SIM-4261,canary|prompt-inject,2026-02-11T06:55:27.476188Z
X0033,190,Decision,supply_chain_flag,Third-party dataset shows distributional shift vs baseline reference.,Quarantine artifact; run provenance checks; notify ML-Ops.,medium,,drift|throughput|data-quality,2026-02-11T06:55:27.476188Z
X0034,5,Decision,user_report,Simulated regulator 'request for information' received (exercise).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,low,case:SIM-2686,thirdparty|drift,2026-02-11T06:55:27.476188Z
X0035,27,Containment,model_infiltration,Third-party dataset shows distributional shift vs baseline reference.,Block deployment; snapshot artifacts for forensic analysis in testbed.,critical,artifact:x0035-artifact,rate-limit,2026-02-11T06:55:27.476188Z
X0036,21,Ambiguity,ingest_file,Synthetic ingest_file observed in test harness with anomalous metadata pattern.,Run statistical comparison; increase sampling; create drift alert.,critical,artifact:x0036-artifact,data-quality|thirdparty,2026-02-11T06:55:27.476188Z
X0037,139,Decision,training_job,Alerts indicate increase in confident predictions for edge cases (synthetic).,Triage and assign owner; collect logs; run canary test.,low,artifact:x0037-artifact,exfil-detection|data-quality,2026-02-11T06:55:27.476188Z
X0038,76,Decision,training_job,User-submitted prompt pattern matches known 'instruction override' heuristic.,Run statistical comparison; increase sampling; create drift alert.,medium,artifact:x0038-artifact,thirdparty|prompt-inject|exfil-detection,2026-02-11T06:55:27.476188Z
X0039,175,Decision,model_infiltration,User-submitted prompt pattern matches known 'instruction override' heuristic.,Legal to assess reporting obligations; prepare holding statement.,medium,artifact:x0039-artifact,rate-limit|canary|throughput,2026-02-11T06:55:27.476188Z
X0040,133,Ambiguity,monitoring_alert,User-submitted prompt pattern matches known 'instruction override' heuristic.,Legal to assess reporting obligations; prepare holding statement.,high,service:sim-8,thirdparty,2026-02-11T06:55:27.476188Z
X0041,10,Signal,model_infiltration,Training job completed with unexpected dependency marker (sandbox-only).,Legal to assess reporting obligations; prepare holding statement.,high,artifact:x0041-artifact,rate-limit,2026-02-11T06:55:27.476188Z
X0042,85,Signal,monitoring_alert,Simulated ingestion artifact with altered column ordering (no PII).,Block deployment; snapshot artifacts for forensic analysis in testbed.,high,service:sim-2,throughput|drift|latency,2026-02-11T06:55:27.476188Z
X0043,149,Ambiguity,prompt_injection,Synthetic prompt_injection observed in test harness with anomalous metadata pattern.,Triage and assign owner; collect logs; run canary test.,medium,case:SIM-2532,provenance|drift|legal,2026-02-11T06:55:27.476188Z
X0044,66,Decision,prompt_injection,Auxiliary feature store mismatch in column schema detected.,Triage and assign owner; collect logs; run canary test.,high,case:SIM-9515,latency,2026-02-11T06:55:27.476188Z
X0045,57,Signal,media_inquiry,Third-party dataset shows distributional shift vs baseline reference.,Flag as potential model-exfil pattern; restrict API keys; audit queries.,low,,drift|thirdparty,2026-02-11T06:55:27.476188Z
X0046,140,Ambiguity,regulatory_notice,Simulated regulator 'request for information' received (exercise).,Monitor trend for 24h; no action unless persists beyond threshold.,medium,,drift,2026-02-11T06:55:27.476188Z
X0047,7,Ambiguity,prompt_injection,User-submitted prompt pattern matches known 'instruction override' heuristic.,Correct ingestion script; re-validate dataset; document fix.,medium,case:SIM-3192,throughput,2026-02-11T06:55:27.476188Z
X0048,33,Ambiguity,media_inquiry,Simulated regulator 'request for information' received (exercise).,Throttle traffic and fallback to canary; alert SRE.,critical,,latency|thirdparty|exfil-detection,2026-02-11T06:55:27.476188Z
X0049,39,Decision,regulatory_notice,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Flag as potential model-exfil pattern; restrict API keys; audit queries.,medium,,drift,2026-02-11T06:55:27.476188Z
X0050,112,Post-Incident,monitoring_alert,Synthetic monitoring_alert observed in test harness with anomalous metadata pattern.,Enable human-in-the-loop for affected paths; log prompts and context.,medium,service:sim-5,drift|thirdparty,2026-02-11T06:55:27.476188Z
X0051,11,Containment,ingest_file,Minor throughput variance during scheduled load window (exercise-only).,Monitor trend for 24h; no action unless persists beyond threshold.,high,artifact:x0051-artifact,comms|provenance|canary,2026-02-11T06:55:27.476188Z
X0052,17,Ambiguity,supply_chain_flag,Alerts indicate increase in confident predictions for edge cases (synthetic).,Triage and assign owner; collect logs; run canary test.,medium,,throughput|drift,2026-02-11T06:55:27.476188Z
X0053,148,Post-Incident,training_job,Third-party dataset shows distributional shift vs baseline reference.,Correct ingestion script; re-validate dataset; document fix.,medium,artifact:x0053-artifact,data-quality|prompt-inject|provenance,2026-02-11T06:55:27.476188Z
X0054,170,Ambiguity,monitoring_alert,Synthetic monitoring_alert observed in test harness with anomalous metadata pattern.,Enable human-in-the-loop for affected paths; log prompts and context.,low,service:sim-1,data-quality,2026-02-11T06:55:27.476188Z
X0055,52,Decision,regulatory_notice,Training job completed with unexpected dependency marker (sandbox-only).,Enable human-in-the-loop for affected paths; log prompts and context.,critical,,thirdparty,2026-02-11T06:55:27.476188Z
X0056,222,Decision,prompt_injection,Simulated regulator 'request for information' received (exercise).,Run statistical comparison; increase sampling; create drift alert.,medium,case:SIM-9079,thirdparty|latency,2026-02-11T06:55:27.476188Z
X0057,190,Ambiguity,monitoring_alert,Minor throughput variance during scheduled load window (exercise-only).,Legal to assess reporting obligations; prepare holding statement.,medium,service:sim-6,throughput|exfil-detection,2026-02-11T06:55:27.476188Z
X0058,117,Ambiguity,model_infiltration,Alerts indicate increase in confident predictions for edge cases (synthetic).,Quarantine artifact; run provenance checks; notify ML-Ops.,high,artifact:x0058-artifact,rate-limit|canary,2026-02-11T06:55:27.476188Z
X0059,122,Post-Incident,regulatory_notice,Third-party dataset shows distributional shift vs baseline reference.,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,,canary|comms|thirdparty,2026-02-11T06:55:27.476188Z
X0060,146,Ambiguity,regulatory_notice,Simulated ingestion artifact with altered column ordering (no PII).,Correct ingestion script; re-validate dataset; document fix.,high,,canary|throughput,2026-02-11T06:55:27.476188Z
X0061,163,Containment,sla_degrading,Third-party dataset shows distributional shift vs baseline reference.,Quarantine artifact; run provenance checks; notify ML-Ops.,low,service:sim-1,thirdparty|comms,2026-02-11T06:55:27.476188Z
X0062,83,Containment,regulatory_notice,Synthetic regulatory_notice observed in test harness with anomalous metadata pattern.,Run statistical comparison; increase sampling; create drift alert.,low,,thirdparty,2026-02-11T06:55:27.476188Z
X0063,65,Ambiguity,model_infiltration,Third-party dataset shows distributional shift vs baseline reference.,Throttle traffic and fallback to canary; alert SRE.,medium,artifact:x0063-artifact,canary|comms,2026-02-11T06:55:27.476188Z
X0064,37,Ambiguity,prompt_injection,Minor throughput variance during scheduled load window (exercise-only).,Run statistical comparison; increase sampling; create drift alert.,critical,case:SIM-2833,canary,2026-02-11T06:55:27.476188Z
X0065,104,Post-Incident,supply_chain_flag,Training job completed with unexpected dependency marker (sandbox-only).,Triage and assign owner; collect logs; run canary test.,low,,data-quality,2026-02-11T06:55:27.476188Z
X0066,55,Post-Incident,monitoring_alert,Training job completed with unexpected dependency marker (sandbox-only).,Enable human-in-the-loop for affected paths; log prompts and context.,low,service:sim-5,exfil-detection|comms|drift,2026-02-11T06:55:27.476188Z
X0067,13,Signal,training_job,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Legal to assess reporting obligations; prepare holding statement.,low,artifact:x0067-artifact,rate-limit,2026-02-11T06:55:27.476188Z
X0068,64,Decision,monitoring_alert,Synthetic monitoring_alert observed in test harness with anomalous metadata pattern.,Throttle traffic and fallback to canary; alert SRE.,high,service:sim-4,throughput|data-quality,2026-02-11T06:55:27.476188Z
X0069,216,Containment,training_job,Synthetic training_job observed in test harness with anomalous metadata pattern.,Run statistical comparison; increase sampling; create drift alert.,low,artifact:x0069-artifact,comms|latency|thirdparty,2026-02-11T06:55:27.476188Z
X0070,42,Ambiguity,monitoring_alert,Synthetic monitoring_alert observed in test harness with anomalous metadata pattern.,Correct ingestion script; re-validate dataset; document fix.,high,service:sim-2,legal|exfil-detection|data-quality,2026-02-11T06:55:27.476188Z
X0071,63,Ambiguity,model_infiltration,User-submitted prompt pattern matches known 'instruction override' heuristic.,Quarantine artifact; run provenance checks; notify ML-Ops.,low,artifact:x0071-artifact,throughput,2026-02-11T06:55:27.476188Z
X0072,97,Ambiguity,prompt_injection,Minor throughput variance during scheduled load window (exercise-only).,Enable human-in-the-loop for affected paths; log prompts and context.,high,case:SIM-8375,exfil-detection,2026-02-11T06:55:27.476188Z
X0073,165,Containment,model_infiltration,Simulated regulator 'request for information' received (exercise).,Monitor trend for 24h; no action unless persists beyond threshold.,critical,artifact:x0073-artifact,canary|drift,2026-02-11T06:55:27.476188Z
X0074,49,Decision,ingest_file,Training job completed with unexpected dependency marker (sandbox-only).,Throttle traffic and fallback to canary; alert SRE.,critical,artifact:x0074-artifact,provenance|prompt-inject|canary,2026-02-11T06:55:27.476188Z
X0075,35,Ambiguity,user_report,Synthetic user_report observed in test harness with anomalous metadata pattern.,Legal to assess reporting obligations; prepare holding statement.,low,case:SIM-9808,exfil-detection,2026-02-11T06:55:27.476188Z
X0076,29,Ambiguity,user_report,Auxiliary feature store mismatch in column schema detected.,Triage and assign owner; collect logs; run canary test.,low,case:SIM-8525,canary|comms|data-quality,2026-02-11T06:55:27.476188Z
X0077,169,Decision,supply_chain_flag,Minor throughput variance during scheduled load window (exercise-only).,Run statistical comparison; increase sampling; create drift alert.,high,,rate-limit,2026-02-11T06:55:27.476188Z
X0078,177,Containment,sla_degrading,Minor throughput variance during scheduled load window (exercise-only).,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,service:sim-1,data-quality,2026-02-11T06:55:27.476188Z
X0079,130,Decision,prompt_injection,Alerts indicate increase in confident predictions for edge cases (synthetic).,Correct ingestion script; re-validate dataset; document fix.,low,case:SIM-2922,canary|data-quality|prompt-inject,2026-02-11T06:55:27.476188Z
X0080,142,Signal,regulatory_notice,User-submitted prompt pattern matches known 'instruction override' heuristic.,Throttle traffic and fallback to canary; alert SRE.,low,,canary|comms|exfil-detection,2026-02-11T06:55:27.476188Z
X0081,49,Decision,supply_chain_flag,User-submitted prompt pattern matches known 'instruction override' heuristic.,Correct ingestion script; re-validate dataset; document fix.,medium,,legal|throughput|canary,2026-02-11T06:55:27.476188Z
X0082,9,Signal,sla_degrading,Alerts indicate increase in confident predictions for edge cases (synthetic).,Correct ingestion script; re-validate dataset; document fix.,low,service:sim-6,drift|prompt-inject,2026-02-11T06:55:27.476188Z
X0083,238,Ambiguity,model_infiltration,User-submitted prompt pattern matches known 'instruction override' heuristic.,Quarantine artifact; run provenance checks; notify ML-Ops.,low,artifact:x0083-artifact,provenance,2026-02-11T06:55:27.476188Z
X0084,214,Containment,prompt_injection,User-submitted prompt pattern matches known 'instruction override' heuristic.,Block deployment; snapshot artifacts for forensic analysis in testbed.,medium,case:SIM-6809,latency|prompt-inject|canary,2026-02-11T06:55:27.476188Z
X0085,191,Decision,supply_chain_flag,Alerts indicate increase in confident predictions for edge cases (synthetic).,Block deployment; snapshot artifacts for forensic analysis in testbed.,medium,,legal|canary|latency,2026-02-11T06:55:27.476188Z
X0086,156,Decision,sla_degrading,Auxiliary feature store mismatch in column schema detected.,Run statistical comparison; increase sampling; create drift alert.,medium,service:sim-9,canary|latency|comms,2026-02-11T06:55:27.476188Z
X0087,134,Ambiguity,media_inquiry,Auxiliary feature store mismatch in column schema detected.,Throttle traffic and fallback to canary; alert SRE.,high,,comms|latency|data-quality,2026-02-11T06:55:27.476188Z
X0088,104,Ambiguity,regulatory_notice,Alerts indicate increase in confident predictions for edge cases (synthetic).,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,,prompt-inject|thirdparty|data-quality,2026-02-11T06:55:27.476188Z
X0089,10,Ambiguity,ingest_file,Simulated ingestion artifact with altered column ordering (no PII).,Triage and assign owner; collect logs; run canary test.,low,artifact:x0089-artifact,prompt-inject|legal|throughput,2026-02-11T06:55:27.476188Z
X0090,38,Ambiguity,ingest_file,User-submitted prompt pattern matches known 'instruction override' heuristic.,Enable human-in-the-loop for affected paths; log prompts and context.,low,artifact:x0090-artifact,exfil-detection|rate-limit,2026-02-11T06:55:27.476188Z
X0091,23,Containment,training_job,Minor throughput variance during scheduled load window (exercise-only).,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,artifact:x0091-artifact,drift,2026-02-11T06:55:27.476188Z
X0092,64,Ambiguity,ingest_file,Alerts indicate increase in confident predictions for edge cases (synthetic).,Throttle traffic and fallback to canary; alert SRE.,low,artifact:x0092-artifact,prompt-inject|drift|exfil-detection,2026-02-11T06:55:27.476188Z
X0093,81,Containment,training_job,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Run statistical comparison; increase sampling; create drift alert.,high,artifact:x0093-artifact,prompt-inject|data-quality|exfil-detection,2026-02-11T06:55:27.476188Z
X0094,107,Containment,media_inquiry,Third-party dataset shows distributional shift vs baseline reference.,Quarantine artifact; run provenance checks; notify ML-Ops.,low,,comms,2026-02-11T06:55:27.476188Z
X0095,59,Ambiguity,supply_chain_flag,Synthetic supply_chain_flag observed in test harness with anomalous metadata pattern.,Monitor trend for 24h; no action unless persists beyond threshold.,low,,latency,2026-02-11T06:55:27.476188Z
X0096,106,Post-Incident,prompt_injection,Simulated ingestion artifact with altered column ordering (no PII).,Monitor trend for 24h; no action unless persists beyond threshold.,low,case:SIM-6521,legal|throughput,2026-02-11T06:55:27.476188Z
X0097,165,Ambiguity,ingest_file,Alerts indicate increase in confident predictions for edge cases (synthetic).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,high,artifact:x0097-artifact,thirdparty|data-quality,2026-02-11T06:55:27.476188Z
X0098,234,Containment,prompt_injection,Third-party dataset shows distributional shift vs baseline reference.,Quarantine artifact; run provenance checks; notify ML-Ops.,low,case:SIM-6844,comms|data-quality|exfil-detection,2026-02-11T06:55:27.476188Z
X0099,89,Ambiguity,monitoring_alert,Third-party dataset shows distributional shift vs baseline reference.,Run statistical comparison; increase sampling; create drift alert.,medium,service:sim-7,canary|prompt-inject,2026-02-11T06:55:27.476188Z
X0100,41,Decision,media_inquiry,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Throttle traffic and fallback to canary; alert SRE.,medium,,throughput,2026-02-11T06:55:27.476188Z
X0101,205,Ambiguity,supply_chain_flag,Alerts indicate increase in confident predictions for edge cases (synthetic).,Legal to assess reporting obligations; prepare holding statement.,low,,exfil-detection|legal|prompt-inject,2026-02-11T06:55:27.476188Z
X0102,120,Ambiguity,sla_degrading,Third-party dataset shows distributional shift vs baseline reference.,Triage and assign owner; collect logs; run canary test.,medium,service:sim-4,throughput|exfil-detection,2026-02-11T06:55:27.476188Z
X0103,19,Ambiguity,ingest_file,Synthetic ingest_file observed in test harness with anomalous metadata pattern.,Correct ingestion script; re-validate dataset; document fix.,low,artifact:x0103-artifact,comms,2026-02-11T06:55:27.476188Z
X0104,185,Decision,ingest_file,Simulated ingestion artifact with altered column ordering (no PII).,Throttle traffic and fallback to canary; alert SRE.,low,artifact:x0104-artifact,exfil-detection,2026-02-11T06:55:27.476188Z
X0105,115,Signal,prompt_injection,Alerts indicate increase in confident predictions for edge cases (synthetic).,Triage and assign owner; collect logs; run canary test.,medium,case:SIM-2826,rate-limit,2026-02-11T06:55:27.476188Z
X0106,27,Containment,regulatory_notice,Minor throughput variance during scheduled load window (exercise-only).,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,,canary|legal|rate-limit,2026-02-11T06:55:27.476188Z
X0107,41,Decision,user_report,Simulated regulator 'request for information' received (exercise).,Quarantine artifact; run provenance checks; notify ML-Ops.,low,case:SIM-9994,latency|exfil-detection,2026-02-11T06:55:27.476188Z
X0108,104,Signal,sla_degrading,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Flag as potential model-exfil pattern; restrict API keys; audit queries.,medium,service:sim-10,rate-limit,2026-02-11T06:55:27.476188Z
X0109,87,Decision,model_infiltration,Simulated regulator 'request for information' received (exercise).,Triage and assign owner; collect logs; run canary test.,low,artifact:x0109-artifact,legal|exfil-detection|drift,2026-02-11T06:55:27.476188Z
X0110,143,Signal,regulatory_notice,Synthetic regulatory_notice observed in test harness with anomalous metadata pattern.,Quarantine artifact; run provenance checks; notify ML-Ops.,low,,exfil-detection|provenance|drift,2026-02-11T06:55:27.476188Z
X0111,45,Ambiguity,media_inquiry,Training job completed with unexpected dependency marker (sandbox-only).,Enable human-in-the-loop for affected paths; log prompts and context.,low,,provenance|throughput|data-quality,2026-02-11T06:55:27.476188Z
X0112,217,Signal,sla_degrading,Alerts indicate increase in confident predictions for edge cases (synthetic).,Triage and assign owner; collect logs; run canary test.,high,service:sim-3,prompt-inject|canary,2026-02-11T06:55:27.476188Z
X0113,38,Ambiguity,sla_degrading,Simulated regulator 'request for information' received (exercise).,Block deployment; snapshot artifacts for forensic analysis in testbed.,high,service:sim-7,provenance|latency,2026-02-11T06:55:27.476188Z
X0114,145,Signal,model_infiltration,Training job completed with unexpected dependency marker (sandbox-only).,Monitor trend for 24h; no action unless persists beyond threshold.,medium,artifact:x0114-artifact,thirdparty|prompt-inject,2026-02-11T06:55:27.476188Z
X0115,53,Post-Incident,training_job,User-submitted prompt pattern matches known 'instruction override' heuristic.,Monitor trend for 24h; no action unless persists beyond threshold.,low,artifact:x0115-artifact,drift|exfil-detection|latency,2026-02-11T06:55:27.476188Z
X0116,34,Ambiguity,supply_chain_flag,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Correct ingestion script; re-validate dataset; document fix.,low,,rate-limit|comms,2026-02-11T06:55:27.476188Z
X0117,129,Containment,media_inquiry,Third-party dataset shows distributional shift vs baseline reference.,Monitor trend for 24h; no action unless persists beyond threshold.,low,,latency,2026-02-11T06:55:27.476188Z
X0118,35,Signal,model_infiltration,Training job completed with unexpected dependency marker (sandbox-only).,Throttle traffic and fallback to canary; alert SRE.,low,artifact:x0118-artifact,legal,2026-02-11T06:55:27.476188Z
X0119,133,Ambiguity,ingest_file,Auxiliary feature store mismatch in column schema detected.,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,artifact:x0119-artifact,prompt-inject|latency,2026-02-11T06:55:27.476188Z
X0120,146,Signal,prompt_injection,Synthetic prompt_injection observed in test harness with anomalous metadata pattern.,Triage and assign owner; collect logs; run canary test.,low,case:SIM-8305,canary|rate-limit,2026-02-11T06:55:27.476188Z
X0121,105,Decision,media_inquiry,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Throttle traffic and fallback to canary; alert SRE.,low,,provenance|rate-limit,2026-02-11T06:55:27.476188Z
X0122,74,Ambiguity,ingest_file,Third-party dataset shows distributional shift vs baseline reference.,Legal to assess reporting obligations; prepare holding statement.,low,artifact:x0122-artifact,data-quality,2026-02-11T06:55:27.476188Z
X0123,11,Signal,ingest_file,Minor throughput variance during scheduled load window (exercise-only).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,low,artifact:x0123-artifact,exfil-detection,2026-02-11T06:55:27.476188Z
X0124,60,Containment,ingest_file,Simulated regulator 'request for information' received (exercise).,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,artifact:x0124-artifact,throughput|legal,2026-02-11T06:55:27.476188Z
X0125,22,Decision,user_report,Minor throughput variance during scheduled load window (exercise-only).,Quarantine artifact; run provenance checks; notify ML-Ops.,low,case:SIM-5718,data-quality|rate-limit,2026-02-11T06:55:27.476188Z
X0126,14,Ambiguity,monitoring_alert,Third-party dataset shows distributional shift vs baseline reference.,Enable human-in-the-loop for affected paths; log prompts and context.,medium,service:sim-6,throughput|exfil-detection|drift,2026-02-11T06:55:27.476188Z
X0127,172,Signal,ingest_file,Minor throughput variance during scheduled load window (exercise-only).,Throttle traffic and fallback to canary; alert SRE.,critical,artifact:x0127-artifact,drift,2026-02-11T06:55:27.476188Z
X0128,34,Ambiguity,model_infiltration,Alerts indicate increase in confident predictions for edge cases (synthetic).,Throttle traffic and fallback to canary; alert SRE.,low,artifact:x0128-artifact,provenance|comms|legal,2026-02-11T06:55:27.476188Z
X0129,20,Post-Incident,sla_degrading,Simulated regulator 'request for information' received (exercise).,Legal to assess reporting obligations; prepare holding statement.,high,service:sim-5,exfil-detection|prompt-inject,2026-02-11T06:55:27.476188Z
X0130,153,Signal,ingest_file,Simulated ingestion artifact with altered column ordering (no PII).,Throttle traffic and fallback to canary; alert SRE.,high,artifact:x0130-artifact,latency|legal|thirdparty,2026-02-11T06:55:27.476188Z
X0131,217,Ambiguity,ingest_file,Training job completed with unexpected dependency marker (sandbox-only).,Legal to assess reporting obligations; prepare holding statement.,medium,artifact:x0131-artifact,drift,2026-02-11T06:55:27.476188Z
X0132,222,Ambiguity,supply_chain_flag,Synthetic supply_chain_flag observed in test harness with anomalous metadata pattern.,Block deployment; snapshot artifacts for forensic analysis in testbed.,medium,,rate-limit,2026-02-11T06:55:27.476188Z
X0133,135,Signal,user_report,Auxiliary feature store mismatch in column schema detected.,Flag as potential model-exfil pattern; restrict API keys; audit queries.,low,case:SIM-6514,rate-limit|legal|exfil-detection,2026-02-11T06:55:27.476188Z
